,target_path,left_path,right_path,left_correct,block_type,target_name,rotated,symmetrical,hi_difficulty,open
85,stimuli_left/targets/A3_rotated.png,stimuli_left/contexts/control/047a_novel_rotated.png,stimuli_left/contexts/control/047b_novel_rotated.png,True,control,A3,True,True,True,False
86,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline
87,stimuli_left/targets/B3.png,stimuli_left/contexts/test/042a.png,stimuli_left/contexts/test/042b.png,True,test,B3,False,False,False,False
88,stimuli_left/targets/C2.png,stimuli_left/contexts/test/023b.png,stimuli_left/contexts/test/023a.png,False,test,C2,False,True,True,True
89,stimuli_left/targets/B2.png,stimuli_left/contexts/test/027a_novel.png,stimuli_left/contexts/test/027b_novel.png,True,test,B2,False,False,True,False
90,stimuli_left/targets/D1_rotated.png,stimuli_left/contexts/test/003b_rotated.png,stimuli_left/contexts/test/003a_rotated.png,False,test,D1,True,False,True,True
91,stimuli_left/targets/D2.png,stimuli_left/contexts/control/018a_novel.png,stimuli_left/contexts/control/018b_novel.png,True,control,D2,False,False,False,True
92,stimuli_left/targets/A4_rotated.png,stimuli_left/contexts/control/063b_rotated.png,stimuli_left/contexts/control/063a_rotated.png,False,control,A4,True,True,True,False
93,stimuli_left/targets/D2_rotated.png,stimuli_left/contexts/control/019b_rotated.png,stimuli_left/contexts/control/019a_rotated.png,False,control,D2,True,False,True,True
94,stimuli_left/targets/B4.png,stimuli_left/contexts/control/058a.png,stimuli_left/contexts/control/058b.png,True,control,B4,False,False,False,False
95,stimuli_left/targets/A1.png,stimuli_left/contexts/control/015b_novel.png,stimuli_left/contexts/control/015a_novel.png,False,control,A1,False,True,True,False
96,stimuli_left/targets/C2.png,stimuli_left/contexts/control/022a.png,stimuli_left/contexts/control/022b.png,True,control,C2,False,True,False,True
97,stimuli_left/targets/D3_rotated.png,stimuli_left/contexts/control/035b_rotated.png,stimuli_left/contexts/control/035a_rotated.png,False,control,D3,True,False,True,True
98,stimuli_left/targets/D1.png,stimuli_left/contexts/control/003a_novel.png,stimuli_left/contexts/control/003b_novel.png,True,control,D1,False,False,True,True
99,stimuli_left/targets/B1.png,stimuli_left/contexts/test/011b.png,stimuli_left/contexts/test/011a.png,False,test,B1,False,False,True,False
100,stimuli_left/targets/A4_rotated.png,stimuli_left/contexts/test/062a_rotated.png,stimuli_left/contexts/test/062b_rotated.png,True,test,A4,True,True,False,False
101,stimuli_left/targets/C3.png,stimuli_left/contexts/test/038a.png,stimuli_left/contexts/test/038b.png,True,test,C3,False,True,False,True
102,stimuli_left/targets/D1.png,stimuli_left/contexts/test/002a.png,stimuli_left/contexts/test/002b.png,True,test,D1,False,False,False,True
103,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline
